Establishment_id,Name,Category,Inspection_date,Inspection_results,City,State,Zip,Address_line_1,Address_line_2,Food_from_approved_source,Food_protected_from_contamination,Ill_workers_restricted,Proper_hand_washing,Cooling_time_and_temperature,Cold_holding_temperature,Hot_holding_temperature,Cooking_time_and_temperature,Reheating_time_and_temperature,Hot_and_cold_running_water_provided,Proper_sewage_disposal,No_bare_hand_contact,Adequate_hand_washing_facilities,Rodent_and_insects,Food_contact_surfaces_and_equipment,Inspection_type,Owner,Type,Location
14558,COLLEGE PARK GRILL,Restaurant,8/15/2019 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,8321 BALTIMORE AVE,B,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Comprehensive,ADAM GREENBERG,Food Establishments,POINT (-76.933064 38.992805)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Full Service,6/28/2018 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Monitoring,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Fast Food - Chain,6/30/2021 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
8458,THE HOTEL @ UMCP - POTOMAC PIZZA,Restaurant,6/30/2021 0:00,Compliant - No Health Risk,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,D,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
8458,THE HOTEL @ UMCP - POTOMAC PIZZA,Full Service,7/10/2018 0:00,Compliant - No Health Risk,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,D,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Full Service,7/13/2018 0:00,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Fast Food - Chain,9/24/2021 0:00,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Fast Food - Chain,9/24/2021 0:00,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Fast Food - Chain,9/24/2021 0:00,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
342,COLLEGE PARK DINER,Restaurant,2/23/2021 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,8/17/2018 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,10/3/2019 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Restaurant,7/17/2020 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Single Foodborne Illness,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Restaurant,8/8/2020 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,5/26/2015 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Monitoring,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,4/19/2017 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Comprehensive,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,8/29/2016 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Single Foodborne Illness,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,12/17/2015 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,11/20/2015 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,5/6/2016 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Restaurant,7/31/2020 0:00,Compliant - No Health Risk,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,1/12/2018 0:00,Compliant - No Health Risk,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,9/11/2017 0:00,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,3/8/2019 0:00,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,4/21/2017 0:00,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Restaurant,7/17/2020 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,N/A,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Restaurant,7/31/2020 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,N/A,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,11/30/2015 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,12/17/2015 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,11/30/2015 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,N/A,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,9/6/2016 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,6/16/2015 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,8/19/2014 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,11/2/2016 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Other,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
342,COLLEGE PARK DINER,Full Service,9/9/2019 0:00,------,COLLEGE PARK,MD,20740,9206 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,Adel RIAD,Food Establishments,POINT (-76.929936 39.006215)
16565,ERDNA CAFE,N/A,9/29/2021 0:00,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,6215 GREENBELT RD,S GL4,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,AGNES NGENGE,Food Establishments,POINT (-76.906031 38.996852)
16565,ERDNA CAFE,N/A,11/5/2021 0:00,------,COLLEGE PARK,MD,20740,6215 GREENBELT RD,S GL4,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,AGNES NGENGE,Food Establishments,POINT (-76.906031 38.996852)
555,GARBANZO MEDITERRANEAN GRILL,N/A,8/6/2014 0:00,------,COLLEGE PARK,MD,20740,7316 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,Comprehensive,ALAN MOR,Food Establishments,POINT (-76.937981 38.980049)
2388,UNIVERSITY MART XTRA FUEL,Gas Station Store,3/31/2017 0:00,Facility Reopened,COLLEGE PARK,MD,20740,8721 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ALEXANDER CHONAI,Food Establishments,POINT (-76.93166 38.997063)
2388,UNIVERSITY MART XTRA FUEL,Gas Station Store,12/5/2019 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,8721 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ALEXANDER CHONAI,Food Establishments,POINT (-76.93166 38.997063)
2388,UNIVERSITY MART XTRA FUEL,Gas Station Store,3/27/2017 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,8721 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ALEXANDER CHONAI,Food Establishments,POINT (-76.93166 38.997063)
2388,UNIVERSITY MART XTRA FUEL,Gas Station Store,9/14/2015 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,8721 BALTIMORE AVE,------,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,N/A,ALEXANDER CHONAI,Food Establishments,POINT (-76.93166 38.997063)
2388,UNIVERSITY MART XTRA FUEL,Gas Station Store,3/13/2015 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,8721 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ALEXANDER CHONAI,Food Establishments,POINT (-76.93166 38.997063)
2388,UNIVERSITY MART XTRA FUEL,Gas Station Store,6/24/2021 0:00,Compliant - No Health Risk,COLLEGE PARK,MD,20740,8721 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ALEXANDER CHONAI,Food Establishments,POINT (-76.93166 38.997063)
2388,UNIVERSITY MART XTRA FUEL,Gas Station Store,6/11/2014 0:00,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,8721 BALTIMORE AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,Change Of Ownership,ALEXANDER CHONAI,Food Establishments,POINT (-76.93166 38.997063)
